year,decade,century,tried,deaths,city,gadm.adm2,gadm.adm1,gadm.adm0,lon,lat,record.source
NA,1660,1600,100,25,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1670,1600,100,25,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1680,1600,100,25,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1690,1600,100,25,NA,NA,Fribourg,Switzerland,NA,NA,Bader (1945)
NA,1500,1500,14,8,NA,Geneve,Geneve,Switzerland,NA,NA,Bader (1945)
NA,1510,1500,14,8,NA,Geneve,Geneve,Switzerland,NA,NA,Bader (1945)
NA,1520,1500,14,8,NA,Geneve,Geneve,Switzerland,NA,NA,Bader (1945)
NA,1530,1500,14,8,NA,Geneve,Geneve,Switzerland,NA,NA,Bader (1945)
NA,1540,1500,14,8,NA,Geneve,Geneve,Switzerland,NA,NA,Bader (1945)
NA,1550,1500,6,3,NA,Geneve,Geneve,Switzerland,NA,NA,Bader (1945)
NA,1560,1500,6,3,NA,Geneve,Geneve,Switzerland,NA,NA,Bader (1945)
NA,1570,1500,6,3,NA,Geneve,Geneve,Switzerland,NA,NA,Bader (1945)
NA,1580,1500,6,3,NA,Geneve,Geneve,Switzerland,NA,NA,Bader (1945)
NA,1590,1500,6,3,NA,Geneve,Geneve,Switzerland,NA,NA,Bader (1945)
NA,1600,1600,15,3,NA,Geneve,Geneve,Switzerland,NA,NA,Bader (1945)
NA,1610,1600,15,3,NA,Geneve,Geneve,Switzerland,NA,NA,Bader (1945)
NA,1620,1600,15,3,NA,Geneve,Geneve,Switzerland,NA,NA,Bader (1945)
NA,1630,1600,15,3,NA,Geneve,Geneve,Switzerland,NA,NA,Bader (1945)
NA,1640,1600,15,3,NA,Geneve,Geneve,Switzerland,NA,NA,Bader (1945)
1652,1650,1600,1,1,NA,Geneve,Geneve,Switzerland,NA,NA,Bader (1945)
1782,1780,1700,1,1,NA,Glarus,Glarus,Switzerland,NA,NA,Bader (1945)
NA,1600,1600,17,12,NA,Moesa,Graubunden,Switzerland,NA,NA,Bader (1945)
NA,1610,1600,17,12,NA,Moesa,Graubunden,Switzerland,NA,NA,Bader (1945)
NA,1620,1600,17,12,NA,Moesa,Graubunden,Switzerland,NA,NA,Bader (1945)
NA,1630,1600,17,12,NA,Moesa,Graubunden,Switzerland,NA,NA,Bader (1945)
NA,1640,1600,17,12,NA,Moesa,Graubunden,Switzerland,NA,NA,Bader (1945)
NA,1650,1600,26,12,NA,Maloja,Graubunden,Switzerland,NA,NA,Bader (1945)
NA,1650,1600,28,4,NA,Plessur,Graubunden,Switzerland,NA,NA,Bader (1945)
NA,1650,1600,28,12,NA,Prattigau/Davos,Graubunden,Switzerland,NA,NA,Bader (1945)
NA,1650,1600,5,3,NA,Plessur,Graubunden,Switzerland,NA,NA,Bader (1945)
NA,1660,1600,26,12,NA,Maloja,Graubunden,Switzerland,NA,NA,Bader (1945)
NA,1660,1600,28,12,NA,Prattigau/Davos,Graubunden,Switzerland,NA,NA,Bader (1945)
NA,1660,1600,5,3,NA,Plessur,Graubunden,Switzerland,NA,NA,Bader (1945)
NA,1670,1600,124,60,NA,Bernina,Graubunden,Switzerland,NA,NA,Bader (1945)
NA,1670,1600,28,12,NA,Prattigau/Davos,Graubunden,Switzerland,NA,NA,Bader (1945)
NA,1670,1600,5,3,NA,Plessur,Graubunden,Switzerland,NA,NA,Bader (1945)
NA,1680,1600,28,12,NA,Prattigau/Davos,Graubunden,Switzerland,NA,NA,Bader (1945)
NA,1680,1600,5,3,NA,Plessur,Graubunden,Switzerland,NA,NA,Bader (1945)
NA,1690,1600,34,6,NA,Surselva,Graubunden,Switzerland,NA,NA,Bader (1945)
NA,1690,1600,6,3,NA,Hinterrhein,Graubunden,Switzerland,NA,NA,Bader (1945)
NA,1690,1600,28,12,NA,Prattigau/Davos,Graubunden,Switzerland,NA,NA,Bader (1945)
NA,1690,1600,5,3,NA,Plessur,Graubunden,Switzerland,NA,NA,Bader (1945)
NA,1700,1700,34,6,NA,Surselva,Graubunden,Switzerland,NA,NA,Bader (1945)
NA,1700,1700,15,11,NA,Prattigau/Davos,Graubunden,Switzerland,NA,NA,Bader (1945)
NA,1400,1400,2,0,NA,NA,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1410,1400,2,0,NA,NA,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1420,1400,2,0,NA,NA,Lucerne,Switzerland,NA,NA,Bader (1945)
1423,1420,1400,1,1,NA,Sursee,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1430,1400,2,0,NA,NA,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1440,1400,2,0,NA,NA,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1450,1400,21,1,NA,NA,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1460,1400,21,1,NA,NA,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1470,1400,21,1,NA,NA,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1480,1400,21,1,NA,NA,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1490,1400,21,1,NA,NA,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1500,1500,5,2,NA,NA,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1500,1500,1,0,NA,Willisau,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1510,1500,5,2,NA,NA,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1510,1500,1,0,NA,Willisau,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1520,1500,5,2,NA,NA,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1520,1500,1,0,NA,Willisau,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1530,1500,5,2,NA,NA,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1530,1500,1,0,NA,Willisau,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1540,1500,5,2,NA,NA,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1540,1500,1,0,NA,Willisau,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1550,1500,100,14,NA,NA,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1550,1500,1,0,NA,Willisau,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1560,1500,100,14,NA,NA,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1560,1500,3,3,NA,Sursee,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1560,1500,1,0,NA,Willisau,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1570,1500,100,14,NA,NA,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1570,1500,3,3,NA,Sursee,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1570,1500,1,0,NA,Willisau,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1580,1500,100,14,NA,NA,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1580,1500,3,3,NA,Sursee,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1580,1500,1,0,NA,Willisau,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1590,1500,100,14,NA,NA,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1590,1500,3,3,NA,Sursee,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1590,1500,1,0,NA,Willisau,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1600,1600,3,3,NA,Sursee,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1610,1600,3,3,NA,Sursee,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1620,1600,3,3,NA,Sursee,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1630,1600,3,3,NA,Sursee,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1640,1600,3,3,NA,Sursee,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1650,1600,8,8,NA,NA,Lucerne,Switzerland,NA,NA,Bader (1945)
NA,1650,1600,3,3,NA,Sursee,Lucerne,Switzerland,NA,NA,Bader (1945)
